order_id,customer_id,order_date,category,product_price,quantity,discount_pct,shipping_cost,country,payment_method,customer_age,is_member,return_flag,rating,delivery_days,revenue
ORD100000,CUST8270,2023-10-17,Books,6.66,8,0,5.59,France,Crypto,69.0,1,0,1.0,9.0,53.28
ORD100001,CUST8603,2022-04-25,Food,11.56,1,5,8.88,USA,Crypto,18.0,1,0,5.0,10.0,10.98
ORD100002,CUST1860,2022-01-26,Electronics,123.48,1,0,15.15,UK,PayPal,,0,0,2.0,3.0,123.48
ORD100003,CUST6390,2022-10-09,Electronics,75.62,1,30,6.19,Australia,Credit Card,25.0,1,0,4.0,12.0,52.93
ORD100004,CUST6226,2022-09-08,Toys,17.04,5,15,4.96,Mexico,Crypto,39.0,1,0,4.0,1.0,72.42
ORD100005,CUST6191,2022-08-17,Home & Garden,79.46,7,20,18.69,Japan,Credit Card,22.0,0,0,2.0,4.0,444.98
ORD100006,CUST4772,2022-05-23,Sports,96.08,4,30,12.45,Brazil,Debit Card,34.0,1,0,5.0,11.0,269.02
ORD100007,CUST4092,2022-04-15,Home & Garden,27.31,1,10,14.0,India,Crypto,49.0,1,0,1.0,5.0,24.58
ORD100008,CUST6734,2023-11-24,Electronics,6.29,1,0,18.31,India,PayPal,26.0,0,0,5.0,8.0,6.29
ORD100009,CUST7265,2023-07-13,Books,25.8,3,15,10.27,USA,Debit Card,70.0,0,0,4.0,2.0,65.79
ORD100010,CUST1466,2022-03-31,Books,29.45,5,10,10.76,Canada,Bank Transfer,68.0,1,0,5.0,12.0,132.52
ORD100011,CUST6334,2023-08-28,Clothing,7.55,5,0,9.14,France,Crypto,30.0,1,0,4.0,14.0,37.75
ORD100012,CUST5426,2023-03-09,Clothing,51.44,9,0,14.67,Canada,Credit Card,57.0,1,0,5.0,2.0,462.96
ORD100013,CUST6578,2022-02-02,Beauty,46.33,9,10,6.0,Australia,PayPal,63.0,1,0,4.0,8.0,375.27
ORD100014,CUST7231,2022-01-31,Electronics,56.49,9,0,4.52,Australia,PayPal,32.0,0,0,4.0,12.0,508.41
ORD100015,CUST4444,2022-04-06,Beauty,46.28,8,0,12.31,Mexico,PayPal,38.0,1,0,4.0,9.0,370.24
ORD100016,CUST4171,2022-08-12,Clothing,79.5,9,5,8.18,Canada,Debit Card,32.0,0,0,5.0,,679.72
ORD100017,CUST3919,2022-08-27,Home & Garden,26.7,8,0,7.91,Germany,Debit Card,33.0,1,0,4.0,2.0,213.6
ORD100018,CUST8831,2023-06-02,Toys,42.19,8,20,3.75,Germany,Crypto,19.0,1,0,5.0,8.0,270.02
ORD100019,CUST1130,2023-09-09,Sports,20.55,8,10,0.71,Brazil,Credit Card,73.0,1,0,5.0,7.0,147.96
ORD100020,CUST2685,2022-01-28,Clothing,16.42,8,0,0.08,Brazil,Bank Transfer,43.0,1,0,1.0,7.0,131.36
ORD100021,CUST8476,2023-07-29,Sports,164.99,5,25,12.58,Brazil,Debit Card,61.0,1,0,4.0,6.0,618.71
ORD100022,CUST1769,2022-07-23,Clothing,2.85,3,0,1.69,India,PayPal,,1,0,4.0,2.0,8.55
ORD100023,CUST3391,2023-10-28,Clothing,94.83,4,10,12.85,Canada,PayPal,59.0,1,0,2.0,6.0,341.39
ORD100024,CUST6611,2023-12-20,Food,15.73,9,5,20.96,Australia,Credit Card,40.0,1,0,,12.0,134.49
ORD100025,CUST8581,2023-07-13,Books,13.46,7,0,13.94,Australia,Bank Transfer,50.0,1,0,4.0,1.0,94.22
ORD100026,CUST7949,2023-03-06,Sports,45.33,9,5,9.94,Japan,Crypto,61.0,0,0,4.0,8.0,387.57
ORD100027,CUST3433,2022-08-14,Clothing,5.54,7,0,9.62,Canada,Crypto,56.0,1,1,5.0,6.0,38.78
ORD100028,CUST6311,2023-04-05,Electronics,12.44,8,0,2.26,India,Debit Card,63.0,1,0,4.0,11.0,99.52
ORD100029,CUST6051,2023-08-27,Electronics,11.95,3,15,12.53,Japan,Bank Transfer,63.0,1,0,4.0,9.0,30.47
ORD100030,CUST7420,2022-10-12,Home & Garden,25.39,8,0,20.05,Japan,Debit Card,32.0,1,0,5.0,11.0,203.12
ORD100031,CUST2184,2022-01-07,Books,12.62,4,0,1.07,USA,Debit Card,38.0,1,1,4.0,9.0,50.48
ORD100032,CUST5555,2022-06-13,Home & Garden,226.18,6,15,9.63,India,Credit Card,,1,0,5.0,1.0,1153.52
ORD100033,CUST4385,2023-12-16,Beauty,286.12,1,20,7.25,Japan,Crypto,74.0,0,0,5.0,13.0,228.9
ORD100034,CUST5117,2023-03-09,Electronics,2.93,2,10,11.15,France,PayPal,54.0,0,0,3.0,6.0,5.27
ORD100035,CUST7396,2022-12-15,Clothing,63.64,7,25,7.48,Germany,Credit Card,22.0,1,0,5.0,3.0,334.11
ORD100036,CUST5843,2022-10-12,Electronics,92.8,6,20,16.68,USA,Credit Card,50.0,1,0,5.0,3.0,445.44
ORD100037,CUST3904,2022-06-09,Clothing,63.53,5,10,9.23,India,PayPal,45.0,0,0,5.0,3.0,285.88
ORD100038,CUST8728,2022-08-09,Electronics,15.03,7,15,12.51,Brazil,Bank Transfer,25.0,1,0,1.0,3.0,89.43
ORD100039,CUST1474,2022-12-11,Toys,24.71,2,0,13.34,Japan,PayPal,39.0,0,0,4.0,6.0,49.42
ORD100040,CUST2082,2022-04-15,Electronics,13.49,4,10,8.68,Germany,PayPal,26.0,0,0,4.0,2.0,48.56
ORD100041,CUST3558,2022-04-05,Toys,20.0,5,30,5.47,Germany,PayPal,33.0,1,0,2.0,12.0,70.0
ORD100042,CUST8849,2023-01-25,Clothing,7.75,8,15,7.44,USA,PayPal,61.0,0,0,3.0,6.0,52.7
ORD100043,CUST3047,2022-04-10,Food,28.85,6,0,12.18,Canada,Crypto,50.0,1,1,5.0,9.0,173.1
ORD100044,CUST8643,2023-01-03,Home & Garden,5.46,6,25,14.81,Brazil,Crypto,,1,1,2.0,8.0,24.57
ORD100045,CUST3747,2022-12-19,Toys,26.05,5,20,7.0,India,Credit Card,62.0,1,0,3.0,11.0,104.2
ORD100046,CUST1975,2023-09-11,Electronics,7.4,5,0,13.18,India,Credit Card,,0,0,5.0,5.0,37.0
ORD100047,CUST2806,2022-09-28,Books,42.44,1,15,4.16,France,Bank Transfer,22.0,1,0,5.0,3.0,36.07
ORD100048,CUST1189,2022-02-14,Toys,14.65,4,30,0.67,USA,PayPal,29.0,1,0,5.0,4.0,41.02
ORD100049,CUST8101,2023-04-16,Electronics,46.93,9,0,8.16,India,Bank Transfer,60.0,0,0,4.0,13.0,422.37
ORD100050,CUST3734,2023-07-04,Electronics,121.26,2,0,1.18,Germany,Bank Transfer,73.0,1,1,5.0,14.0,242.52
ORD100051,CUST4005,2022-05-08,Clothing,223.04,6,10,12.8,Canada,Bank Transfer,55.0,0,0,5.0,13.0,1204.42
ORD100052,CUST5658,2023-01-23,Toys,1.59,2,0,11.73,Japan,Bank Transfer,67.0,0,0,5.0,5.0,3.18
ORD100053,CUST2899,2022-03-22,Home & Garden,12.17,9,10,17.24,Germany,Crypto,39.0,0,0,4.0,2.0,98.58
ORD100054,CUST8734,2023-07-20,Home & Garden,23.02,5,0,11.46,UK,PayPal,20.0,1,0,1.0,2.0,115.1
ORD100055,CUST2267,2022-10-28,Electronics,57.53,9,5,15.75,Mexico,Credit Card,59.0,1,0,4.0,6.0,491.88
ORD100056,CUST7975,2023-10-06,Electronics,4.57,5,20,19.93,Brazil,Debit Card,54.0,0,0,5.0,1.0,18.28
ORD100057,CUST2528,2023-09-26,Books,10.19,9,15,4.09,UK,Crypto,61.0,1,0,4.0,3.0,77.95
ORD100058,CUST4202,2023-01-06,Electronics,38.72,2,0,3.64,Australia,Bank Transfer,71.0,1,0,4.0,12.0,77.44
ORD100059,CUST4556,2023-08-15,Sports,36.67,7,15,9.06,Australia,Debit Card,20.0,1,0,4.0,7.0,218.19
ORD100060,CUST4890,2022-07-16,Toys,52.1,8,5,4.24,UK,PayPal,66.0,1,0,5.0,4.0,395.96
ORD100061,CUST1646,2023-12-23,Electronics,56.4,3,30,7.1,Canada,PayPal,24.0,0,1,5.0,4.0,118.44
ORD100062,CUST7164,2022-03-13,Sports,49.72,1,0,0.99,USA,Bank Transfer,29.0,1,1,3.0,2.0,49.72
ORD100063,CUST3888,2022-02-16,Electronics,41.78,2,5,7.89,India,Crypto,64.0,1,0,,3.0,79.38
ORD100064,CUST7310,2023-11-09,Sports,35.41,5,0,5.28,UK,Debit Card,28.0,1,0,3.0,12.0,177.05
ORD100065,CUST6393,2022-08-22,Electronics,73.53,9,10,6.99,Japan,Bank Transfer,18.0,1,0,5.0,11.0,595.59
ORD100066,CUST3435,2022-10-24,Books,2.25,5,0,11.07,USA,Debit Card,22.0,1,0,4.0,1.0,11.25
ORD100067,CUST1600,2022-03-23,Clothing,211.28,1,25,10.36,France,Crypto,40.0,1,0,4.0,10.0,158.46
ORD100068,CUST3363,2022-08-27,Home & Garden,2.35,1,10,10.07,Australia,Credit Card,63.0,1,0,4.0,8.0,2.12
ORD100069,CUST3061,2022-04-14,Home & Garden,9.07,2,25,5.03,Germany,Debit Card,69.0,0,0,5.0,1.0,13.6
ORD100070,CUST1241,2023-01-25,Electronics,25.23,1,10,10.42,Australia,PayPal,36.0,1,0,2.0,7.0,22.71
ORD100071,CUST3041,2022-10-12,Books,74.23,8,0,7.34,France,Debit Card,25.0,1,0,4.0,12.0,593.84
ORD100072,CUST3824,2023-04-10,Clothing,0.91,2,0,6.53,UK,Debit Card,30.0,0,0,1.0,1.0,1.82
ORD100073,CUST8513,2023-10-13,Sports,32.02,8,5,11.49,Mexico,PayPal,63.0,1,0,5.0,14.0,243.35
ORD100074,CUST3612,2023-01-09,Electronics,85.7,5,30,10.69,Canada,PayPal,59.0,1,1,3.0,4.0,299.95
ORD100075,CUST8041,2022-06-16,Sports,109.23,1,20,10.44,Mexico,Debit Card,30.0,0,0,2.0,6.0,87.38
ORD100076,CUST2363,2023-01-15,Electronics,14.34,4,20,5.82,Brazil,Debit Card,41.0,1,0,5.0,14.0,45.89
ORD100077,CUST7235,2022-12-30,Clothing,23.08,2,10,5.2,UK,Debit Card,60.0,0,0,5.0,5.0,41.54
ORD100078,CUST6486,2022-08-03,Electronics,15.81,6,0,2.5,Australia,Crypto,70.0,1,0,1.0,12.0,94.86
ORD100079,CUST8099,2023-11-18,Books,20.67,5,0,12.44,Brazil,PayPal,28.0,0,0,4.0,3.0,103.35
ORD100080,CUST2478,2022-10-01,Clothing,9.6,9,20,11.17,Australia,Bank Transfer,49.0,1,0,5.0,9.0,69.12
ORD100081,CUST8595,2023-12-20,Beauty,11.39,3,0,11.67,Canada,PayPal,45.0,1,0,5.0,9.0,34.17
ORD100082,CUST3556,2023-12-01,Beauty,55.77,5,0,0.65,Germany,Crypto,20.0,1,0,4.0,11.0,278.85
ORD100083,CUST1775,2023-10-26,Electronics,38.78,7,15,8.14,Brazil,Debit Card,45.0,0,0,5.0,13.0,230.74
